ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
770AF28689FFAB912F2353F051CE04DA,,2022-01-11 04:36:39,transfer,,tbk-metamask-2;eth,563023FC99E3BB4080D567C64BAE69E9,10.0,USDC;3054,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,10.0,USDC;3054,0.0,,10.0,USD;10,,,10.0,0.0,USD;10,false,api,csv,false,false,,,0x7f68038ff73d27b98d2da633d3e52d5ddcde3537,,54d24c25ad7746635be39d1b52f19ec1c8db6258cb427597b3402632d64aea2f,USDC (AVAXC) Deposit
3CE20B8DC651B96EED8E2C31F5172884,,2022-01-11 04:40:18,deposit,,,,0.0,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,12258.976633,USDC;3054,0.0,,12258.976633,USD;10,0.0,,12258.976633,0.0,USD;10,false,,csv,false,false,,,,,,USDC (AVAXC) Deposit
BCC2CD9DB882D2151627136D92F6E345,,2022-01-15 23:26:10,deposit,,,,0.0,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,100.0,USDC;3054,0.0,,100.0,USD;10,0.0,,100.0,0.0,USD;10,false,,csv,false,false,,,,,,USDC (AVAXC) Deposit
A588D2F9716D09E090579B45D4C06C15,,2022-01-15 23:28:58,trade,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,100.0,USDC;3054,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,212.7,CRO;3219,0.0,,100.0,USD;10,0.0,,100.0,0.0,USD;10,false,csv,csv,false,false,,,,,,USDC -> CRO
B3F09A3C0399D74B31391B9BE7DD86AE,,2022-01-15 23:31:05,deposit,,,,0.0,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,8053.206393,USDC;3054,0.0,,8053.206393,USD;10,0.0,,8053.206393,0.0,USD;10,false,,csv,false,false,,,,,,USDC (AVAXC) Deposit
4B9D49E06AA6A026B93B13ACD3C434DE,,2022-01-15 23:32:56,transfer,,tbk-metamask-2;bsc,E5969FD32B1E08E2CCD386A0443BB7A7,100.0,BUSD;4258,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,100.0,BUSD;4258,0.0,,100.0,USD;10,,,100.0,0.0,USD;10,false,api,csv,false,false,,,0x7f68038ff73d27b98d2da633d3e52d5ddcde3537,,7b4ed2707c24e100a2b7baab57406e00d44ef87efbd5ee345a4c9ca46cc29826,BUSD (BSC) Deposit
604F29002AFBAD06698A1E592229328C,,2022-01-15 23:34:02,transfer,,tbk-metamask-2;bsc,E5969FD32B1E08E2CCD386A0443BB7A7,6506.4795023783,BUSD;4258,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,6506.4795023783,BUSD;4258,0.0,,6506.4795023783,USD;10,,,6506.4795023783,0.0,USD;10,false,api,csv,false,false,,,0x7f68038ff73d27b98d2da633d3e52d5ddcde3537,,d9aa756bff31edcc0ec2f5aa0eb16cc676f11915b0f8fd3f62c913153d5eb06a,BUSD (BSC) Deposit
15ACA74878B13C5C003B7F8F46A5AC17,,2022-01-15 23:36:15,trade,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,8053.184722,USDC;3054,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,17057.7,CRO;3219,0.0,,8053.184722,USD;10,0.0,,8053.184722,0.0,USD;10,false,csv,csv,false,false,,,,,,USDC -> CRO
8E88E889DBF28D06EB98B94046EC9AA4,,2022-01-15 23:40:01,trade,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,6600.0,BUSD;4258,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,6600.0,USDC;3054,0.0,,6600.0,USD;10,0.0,,6600.0,0.0,USD;10,false,csv,csv,false,false,,,,,,BUSD -> USDC
DE95FA594ABFB030165037FA168E7A1E,,2022-01-15 23:40:54,trade,,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,6598.282663,USDC;3054,Crypto.com;crypto_com,1C1E2D4CC882CE767F89E5C8EC66930A,14000.0,CRO;3219,0.0,,6598.282663,USD;10,0.0,,6598.282663,0.0,USD;10,false,csv,csv,false,false,,,,,,USDC -> CRO
